source,destination,cab_type,product_id,name,distance,surge_multiplier,short_summary,precipIntensity,precipProbability,temperatureLow,temperatureLowTime,apparentTemperatureLowTime,icon,pressure,cloudCover,ozone,moonPhase,temperatureMinTime,apparentTemperatureMinTime,price
6,0,0,7,5,2.9,1.0,1,0.0,0.0,37.17,1543464000,1543460400,4,997.37,0.75,348.9,0.72,1543399200,1543399200,10.5
0,9,1,1,0,1.68,1.0,3,0.0,0.0,33.82,1543399200,1543399200,4,991.84,0.13,308.4,0.68,1543377600,1543377600,18.5
9,7,1,1,0,2.29,1.0,1,0.0,0.0,37.6,1543489200,1543478400,4,996.92,0.77,349.9,0.72,1543399200,1543399200,20.5
1,8,1,6,12,1.92,1.0,3,0.0,0.0,33.65,1543399200,1543399200,4,991.29,0.28,307.6,0.68,1543377600,1543377600,8.5
0,5,1,2,1,3.79,1.0,3,0.0,0.0,28.7,1543579200,1543575600,4,1003.62,0.22,341.1,0.75,1543550400,1543550400,41.0
6,11,0,11,6,1.23,1.0,1,0.0,0.0,28.9,1543579200,1543575600,4,1001.97,0.53,341.9,0.75,1543550400,1543550400,13.5
8,1,0,12,2,2.36,1.0,2,0.0,0.0,37.37,1543489200,1543478400,2,992.85,1.0,355.0,0.72,1543399200,1543399200,16.5
2,11,1,6,12,3.04,1.0,1,0.0,0.0,37.17,1543464000,1543460400,4,997.37,0.75,348.9,0.72,1543399200,1543399200,8.5
6,1,1,0,10,1.79,1.0,0,0.0,0.0,31.31,1543662000,1543662000,0,1017.45,0.02,272.9,0.79,1543579200,1543579200,11.0
9,1,1,3,11,2.5,1.0,2,0.0,0.0,37.59,1543485600,1543478400,2,991.85,1.0,354.2,0.72,1543399200,1543399200,14.0
9,1,0,11,6,2.46,1.0,3,0.0,0.0,36.71,1543478400,1543460400,3,991.62,0.44,348.0,0.72,1543402800,1543392000,16.5
8,11,0,7,5,2.8,1.0,0,0.0,0.0,31.71,1543658400,1543658400,1,1015.68,0.0,281.4,0.79,1543579200,1543575600,11.0
0,5,0,12,2,2.23,1.0,3,0.0,0.0,36.71,1543478400,1543460400,4,998.36,0.44,347.7,0.72,1543402800,1543392000,16.5
1,5,1,6,12,1.35,1.0,2,0.0,0.0,37.37,1543489200,1543478400,2,991.33,1.0,352.4,0.72,1543399200,1543399200,7.5
6,10,0,11,6,1.73,1.0,3,0.0,0.0,37.44,1543489200,1543478400,3,991.71,0.37,350.4,0.72,1543399200,1543399200,16.5
6,11,0,7,5,1.28,1.0,3,0.0,0.0,28.42,1543579200,1543579200,3,1006.58,0.31,314.0,0.75,1543550400,1543550400,9.0
6,10,1,2,1,1.41,1.0,3,0.0,0.0,37.44,1543489200,1543478400,4,991.05,0.48,344.7,0.72,1543399200,1543399200,27.5
11,2,1,1,0,2.8,1.0,1,0.0,0.0,37.64,1543485600,1543478400,3,991.36,0.54,347.5,0.72,1543399200,1543399200,22.5
10,9,0,7,5,0.59,1.0,3,0.0,0.0,36.71,1543478400,1543460400,4,998.36,0.44,347.7,0.72,1543402800,1543392000,7.0
0,8,0,9,3,1.08,1.0,1,0.0,0.0,37.6,1543489200,1543478400,4,996.92,0.77,349.9,0.72,1543399200,1543399200,16.5
5,0,0,8,7,2.42,1.0,1,0.0,0.0,37.6,1543489200,1543478400,4,991.07,0.76,345.8,0.72,1543399200,1543399200,9.0
6,7,0,12,2,1.02,1.0,2,0.0,0.0,37.59,1543485600,1543478400,2,991.85,1.0,354.2,0.72,1543399200,1543399200,13.5
2,0,1,3,11,1.56,1.0,3,0.0,0.0,37.17,1543464000,1543460400,4,991.12,0.25,343.8,0.72,1543399200,1543399200,11.5
8,4,1,2,1,4.55,1.0,1,0.0,0.0,33.1,1543402800,1543392000,4,991.47,0.77,308.9,0.68,1543377600,1543377600,39.5
4,5,0,9,3,1.0,1.0,3,0.0,0.0,33.65,1543399200,1543399200,4,991.29,0.28,307.6,0.68,1543377600,1543377600,16.5
9,7,0,11,6,1.91,1.0,3,0.0,0.0,28.78,1543579200,1543575600,3,1006.43,0.49,326.8,0.75,1543550400,1543550400,13.5
4,6,1,6,12,1.21,1.0,2,0.0,0.0,30.17,1543662000,1543662000,2,1017.33,1.0,285.6,0.79,1543579200,1543575600,7.0
2,7,0,11,6,3.54,1.0,3,0.0,0.0,37.44,1543489200,1543478400,3,991.71,0.37,350.4,0.72,1543399200,1543399200,19.5
1,8,0,10,4,2.08,1.0,3,0.0,0.0,28.7,1543579200,1543575600,4,1003.62,0.22,341.1,0.75,1543550400,1543550400,26.0
0,3,1,5,9,1.34,1.0,2,0.0,0.0,35.04,1543712400,1543712400,2,1019.21,0.94,287.3,0.82,1543658400,1543658400,7.0
7,3,0,10,4,3.21,1.0,1,0.0,0.0,37.6,1543489200,1543478400,4,991.07,0.76,345.8,0.72,1543399200,1543399200,38.5
3,10,0,8,7,2.72,1.0,0,0.0,0.0,31.57,1543658400,1543658400,1,1014.74,0.0,286.9,0.79,1543579200,1543575600,7.0
11,5,1,6,12,0.72,1.0,3,0.0,0.0,37.44,1543489200,1543478400,3,991.71,0.37,350.4,0.72,1543399200,1543399200,7.0
0,9,1,2,1,3.45,1.0,1,0.0,0.0,28.9,1543579200,1543575600,4,1001.97,0.53,341.9,0.75,1543550400,1543550400,31.5
4,9,1,0,10,0.39,1.0,3,0.0,0.0,37.44,1543489200,1543478400,4,991.05,0.48,344.7,0.72,1543399200,1543399200,6.0
7,3,0,10,4,3.16,1.0,3,0.0,0.0,34.67,1543712400,1543712400,4,1021.7,0.4,280.6,0.82,1543658400,1543658400,32.5
1,6,0,10,4,1.75,1.0,1,0.0,0.0,37.44,1543489200,1543478400,3,991.41,0.81,352.0,0.72,1543399200,1543399200,27.5
5,10,1,6,12,1.16,1.0,3,0.0,0.0,33.65,1543399200,1543399200,4,991.29,0.28,307.6,0.68,1543377600,1543377600,9.5
5,4,1,6,12,0.99,1.0,1,0.0,0.0,33.1,1543402800,1543392000,4,991.47,0.77,308.9,0.68,1543377600,1543377600,8.5
6,7,1,2,1,0.92,1.0,1,0.0,0.0,33.85,1543399200,1543399200,3,991.0,0.82,311.4,0.68,1543377600,1543377600,27.5
4,2,0,12,2,5.41,1.0,1,0.0,0.0,37.17,1543464000,1543460400,4,997.37,0.75,348.9,0.72,1543399200,1543399200,30.0
